"source","target","dst_port","weight","type","time","diff"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210952","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210952","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210952","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210952","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210952","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677210952","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677210952","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677210952","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677210952","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677210952","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677211332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677211332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677211332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677211332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","54","graph_edge","1771677211332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211332","1"
